0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,,
1,投资,网络架构,线路联络率,,,0.1483,0.155084725,0.155705064,0.168200395,0.187774716,0.195778614,0.197956651,0.200084685,0.206037204,0.230040538,0.246057111,0.256699081,0.274764279,0.277305848,,,,,,,,,,,,,,
,,,无功补偿比例,,,0.5876,0.631883673,0.646991437,0.700338822,0.717337955,0.743749034,0.793309765,0.848048139,0.912191417,0.95,0.95,0.95,0.95,0.95,,,,,,,,,,,,,,
,,装备水平,电缆化率,,,0.09035,0.09390979,0.095111835,0.108389448,0.122653499,0.129301318,0.135275039,0.161788947,0.176058732,0.190354701,0.220240389,0.223808284,0.233073947,0.248783131,,,,,,,,,,,,,,
,,,架空线路绝缘化率,,,0.4626,0.479547982,0.512113649,0.549311723,0.583818486,0.588011364,0.633502062,0.68959579,0.711600165,0.772603706,0.804842352,0.823792731,0.872546282,0.88,,,,,,,,,,,,,,
,,,自动化率,,,0.3178,0.343899325,0.367542404,0.372136684,0.407861805,0.44273399,0.445113685,0.453682123,0.508747791,0.513644488,0.561028193,0.590902944,0.663584006,0.737324778,,,,,,,,,,,,,,
,,,运行30年以上配电比例,,,0.44699,0.434586028,0.424427579,0.37996879,0.341021989,0.310798915,0.275562088,0.26522851,0.255415055,0.250881438,0.235797192,0.208238395,0.201809034,0.187909437,,,,,,,,,,,,,,
,,,运行30年以上线路比例,,,0.4622,0.437645625,0.419100392,0.378866754,0.348510055,0.311655117,0.285631915,0.264495153,0.237483586,0.237364844,0.233299971,0.214256861,0.212328549,0.210231805,,,,,,,,,,,,,,
,环境,负荷与自然因素,年平均日照小时数,,,0.44093,0.457444833,0.488509495,0.5,0.462727273,0.479679917,0.449242046,0.420082153,0.437458279,0.468597355,0.5,0.476590909,0.447822149,0.45820348,,,,,,,,,,,,,,
,,,年最大负荷利用小时数,,,0.42477,0.416120138,0.403939167,0.428322404,0.436538406,0.41391778,0.409439942,0.424626442,0.447440462,0.466110933,0.431830592,0.45609162,0.438304047,0.440854179,,,,,,,,,,,,,,
,,能源因素,分布式光伏装机容量,,,0.01992,0.06,0.06564,0.08195154,0.089900839,0.091204402,0.101373692,0.106746498,0.127668812,0.13749931,0.139218052,0.170402895,0.193364685,0.205449978,,,,,,,,,,,,,,
,,,分布式风机装机容量,,,0.10376,0.103986385,0.105810874,0.112303814,0.113079731,0.119422476,0.12440565,0.129698545,0.129981524,0.130879578,0.131331707,0.141157707,0.153002122,0.161305964,,,,,,,,,,,,,,
,效益,供电质量,供电可靠性,,,0.52172509,0.588587798,0.640250018,0.734374505,0.772449729,0.819846534,0.846729165,0.875035631,0.906028052,0.929073463,0.942911362,0.944046943,0.946543216,0.951323502,,,,,,,,,,,,,,
,,,系统平均停电频率,,,0.005389967,0.004556923,0.004086719,0.002859463,0.002161471,0.001738709,0.001314166,0.00092529,0.000623685,0.000468645,0.00038514,0.000310077,0.000271024,0.000252607,,,,,,,,,,,,,,
,,,电压合格率,,,0.470076703,0.511205415,0.539013432,0.61152095,0.660759288,0.714126093,0.754825295,0.791099691,0.837630907,0.85626472,0.880876289,0.893989244,0.896512718,0.91425321,,,,,,,,,,,,,,
,,,系统失负荷量,,,4142.515931,4117.282556,4087.125256,4036.087651,3989.256065,3995.566875,3958.516676,3910.971191,3879.77699,3861.584577,3869.679642,3844.667122,3862.397524,3845.980043,,,,,,,,,,,,,,
,,运行水平,线路重载比例,,,0.294828418,0.241118851,0.222651695,0.197143267,0.177777866,0.157367648,0.144917945,0.141023091,0.11064714,0.068436291,0.083619287,0.07399624,0.047616671,0.07054747,,,,,,,,,,,,,,
,,,线路平均负载率,,,0.417770733,0.424867206,0.429908605,0.446006415,0.457139452,0.468059799,0.48082146,0.4941799,0.507191899,0.514019831,0.5184055,0.521565865,0.52194913,0.524953804,,,,,,,,,,,,,,
,,,配电重载比例,,,0.055129271,0.07228767,0.05032147,0.058912932,0.047204117,0.067395935,0.067973086,0.046695793,0.044971605,0.044669465,0.05519503,0.047693375,0.054871941,0.046889027,,,,,,,,,,,,,,
,,,网损率,,,0.13606392,0.136270204,0.129584805,0.113910561,0.106062735,0.094948262,0.093955082,0.0885038,0.075288739,0.080677242,0.07075255,0.077776219,0.071811192,0.074400291,,,,,,,,,,,,,,
,,,配电平均负载率,,,0.465607487,0.470899354,0.473185566,0.481360911,0.484065074,0.487599515,0.489513078,0.492257196,0.49461907,0.496628931,0.496013794,0.497454255,0.496982708,0.497027007,,,,,,,,,,,,,,
,,主动能力,清洁能源消纳率,,,0.723286924,0.737923715,0.752660446,0.774399487,0.782495674,0.789863511,0.804034437,0.817432042,0.818027009,0.825968775,0.825944088,0.828966436,0.835093834,0.835452792,,,,,,,,,,,,,,
